Time              Gyro_X     Gyro_Y     Gyro_Z    Accel_X    Accel_Y    Accel_Z
372657.822700    0.01490    0.03352    0.43310   -0.16638   -0.01952    9.82275
372657.832700    0.10107    0.18100    0.34274   -0.16577   -0.02289    9.82349
372657.842700    0.03942    0.25835    0.28728   -0.17898   -0.01104    9.82520
372657.852700    0.03770    0.06068    0.32498   -0.17379   -0.02716    9.82069
372657.862700    0.09969    0.01965    0.27582   -0.16881   -0.00955    9.81946
372657.872700    0.07477    0.07638    0.17750   -0.16887   -0.02373    9.81423
372657.882700   -0.03506    0.17939    0.26236   -0.16405   -0.02091    9.82454
372657.892700    0.16003   -0.05306    0.21606   -0.17152   -0.01148    9.82947
372657.902700    0.04612    0.23537    0.06440   -0.16587   -0.01100    9.81305
372657.912700    0.01346    0.00189    0.44118   -0.17427   -0.01660    9.81846
372657.922700    0.09929    0.12078    0.19544   -0.15984   -0.01073    9.84085
372657.932700    0.03501   -0.09597    0.12416   -0.16451   -0.01508    9.81700
372657.942700    0.03335   -0.01404    0.13476   -0.16841   -0.01775    9.81988
372657.952700    0.13218    0.27244    0.24798   -0.16593   -0.00662    9.82799
372657.962700    0.12124    0.19406    0.24546   -0.16487   -0.01014    9.81518
372657.972700    0.15613    0.07546    0.48541   -0.16296   -0.02211    9.82419
372657.982700    0.02005    0.26064    0.37277   -0.16030   -0.01227    9.82910
372657.992700    0.19733   -0.09345    0.29633   -0.16892   -0.01599    9.82237
372658.002700    0.10674    0.06749    0.16415   -0.16530   -0.01772    9.83058
372658.012700    0.08136    0.10474    0.40130   -0.15745   -0.00903    9.83299
372658.022700    0.15848    0.11259    0.21709   -0.17260   -0.02770    9.81356
372658.032700    0.00945    0.12359    0.34738   -0.16536   -0.02048    9.83524
372658.042700    0.03335    0.11522    0.25290   -0.16060   -0.01457    9.82377
372658.052700    0.02796   -0.18380    0.18936   -0.17727   -0.01932    9.81278
372658.062700   -0.01478    0.26900    0.18931   -0.16748   -0.01912    9.83523
372658.072700    0.03014    0.07626    0.23491   -0.16769   -0.01534    9.82735
372658.082700    0.11946    0.00659    0.57622   -0.16635   -0.00809    9.81909
372658.092700    0.18117    0.08216    0.21366   -0.18151   -0.02389    9.82709
372658.102700    0.14479    0.07065    0.31713   -0.16885   -0.01282    9.82769
372658.112700    0.04933    0.11769    0.46874   -0.16163   -0.01429    9.82306
372658.122700    0.23359    0.14330    0.30453   -0.16714   -0.01523    9.83020
372658.132700    0.10388    0.20615    0.17968   -0.16411   -0.01426    9.82413
372658.142700    0.11081    0.10777    0.38342   -0.16713   -0.01810    9.82024
372658.152700    0.16742    0.15900    0.32945   -0.16639   -0.02215    9.83347
372658.162700    0.07506    0.17275    0.34280   -0.16870   -0.00436    9.81513
372658.172700    0.12811    0.18254    0.39133   -0.17101   -0.02397    9.81745
372658.182700    0.06096    0.00882    0.18426   -0.16831   -0.02701    9.83493
