
Project:     run2
Program:     Inertial Explorer Version 9.00.2207
Profile:     ARLI_IMU_BIASES
Source:      GNSS/INS Epochs(Smoothed TC Combined)
SolFile:      C:\Users\pleba\Documents\gnss_course\run2\run2.cts
ProcessInfo: run2 by Unknown on 4/24/2026 at 09:12:41

Datum:       ETRS89
Master 1:    Name BUDD00DNK, Status ENABLED
             Antenna height 2.694 m, to ARP [LEIAR25.R4(LEIT)]
             Lat, Lon, El Hgt 55 44 19.91720, 12 29 59.84215, 87.941 m [ETRF2000, 2024.003]
Remote:      Antenna height 0.000 m, to L1PC [Generic(NONE)]
IMU to GNSS Antenna Lever Arms:
             x=0.000, y=0.000, z=0.000 m (x-right, y-fwd, z-up)
Body to IMU Rotations:
             xRot=0.000, yRot=0.000, zRot=0.000 degrees

  GPSTime      AccBiasX      AccBiasY      AccBiasZ    GyroDriftX    GyroDriftY    GyroDriftZ
    (sec)       (m/s^2)       (m/s^2)       (m/s^2)       (deg/s)       (deg/s)       (deg/s)
372658.34  -3.64643E-03   1.18298E-02   9.50983E-03   8.59174E-02   7.86677E-02   2.49815E-01
372658.35  -3.64643E-03   1.18298E-02   9.50983E-03   8.59174E-02   7.86677E-02   2.49815E-01
372658.35  -3.64642E-03   1.18298E-02   9.50983E-03   8.59174E-02   7.86677E-02   2.49815E-01
372658.36  -3.64642E-03   1.18298E-02   9.50983E-03   8.59174E-02   7.86677E-02   2.49815E-01
372658.36  -3.64641E-03   1.18298E-02   9.50983E-03   8.59174E-02   7.86677E-02   2.49815E-01
372658.37  -3.64641E-03   1.18299E-02   9.50983E-03   8.59174E-02   7.86677E-02   2.49815E-01
372658.37  -3.64640E-03   1.18299E-02   9.50983E-03   8.59174E-02   7.86677E-02   2.49815E-01
372658.38  -3.64640E-03   1.18299E-02   9.50983E-03   8.59174E-02   7.86677E-02   2.49815E-01
372658.38  -3.64640E-03   1.18299E-02   9.50983E-03   8.59174E-02   7.86677E-02   2.49815E-01
372658.39  -3.64639E-03   1.18299E-02   9.50983E-03   8.59174E-02   7.86677E-02   2.49815E-01
372658.39  -3.64639E-03   1.18299E-02   9.50983E-03   8.59174E-02   7.86677E-02   2.49815E-01
372658.40  -3.64638E-03   1.18300E-02   9.50983E-03   8.59174E-02   7.86677E-02   2.49815E-01
372658.40  -3.64638E-03   1.18300E-02   9.50983E-03   8.59174E-02   7.86677E-02   2.49816E-01
372658.41  -3.64637E-03   1.18300E-02   9.50983E-03   8.59175E-02   7.86677E-02   2.49816E-01
372658.41  -3.64637E-03   1.18300E-02   9.50983E-03   8.59175E-02   7.86677E-02   2.49816E-01
372658.42  -3.64636E-03   1.18300E-02   9.50983E-03   8.59175E-02   7.86677E-02   2.49816E-01
372658.42  -3.64636E-03   1.18301E-02   9.50983E-03   8.59175E-02   7.86677E-02   2.49816E-01
372658.43  -3.64636E-03   1.18301E-02   9.50983E-03   8.59175E-02   7.86677E-02   2.49816E-01
372658.43  -3.64635E-03   1.18301E-02   9.50983E-03   8.59175E-02   7.86677E-02   2.49816E-01
372658.44  -3.64635E-03   1.18301E-02   9.50984E-03   8.59175E-02   7.86677E-02   2.49816E-01
372658.44  -3.64634E-03   1.18301E-02   9.50984E-03   8.59175E-02   7.86677E-02   2.49816E-01
372658.45  -3.64634E-03   1.18301E-02   9.50984E-03   8.59175E-02   7.86677E-02   2.49816E-01
372658.45  -3.64633E-03   1.18302E-02   9.50984E-03   8.59175E-02   7.86677E-02   2.49816E-01
372658.46  -3.64633E-03   1.18302E-02   9.50984E-03   8.59175E-02   7.86677E-02   2.49816E-01
372658.46  -3.64632E-03   1.18302E-02   9.50984E-03   8.59175E-02   7.86677E-02   2.49816E-01
372658.47  -3.64632E-03   1.18302E-02   9.50984E-03   8.59175E-02   7.86677E-02   2.49817E-01
372658.47  -3.64632E-03   1.18302E-02   9.50984E-03   8.59175E-02   7.86677E-02   2.49817E-01
