datetime,X-ECEF,Y-ECEF,Z-ECEF,cdt,variance,VX-ECEF,VY-ECEF,VZ-ECEF
2026-04-23 07:43:00.000,3509412.4092589025,779163.1240433515,5250973.088845463,-78053.07183115084,38.42488235281683,,,
2026-04-23 07:43:00.100,3509412.3964792574,779163.1442775808,5250973.089538107,-78058.05873815787,38.35162834386805,-0.12779645156115294,0.2023422927595675,0.006926441565155983
2026-04-23 07:43:00.200,3509412.3965598466,779163.1396159362,5250973.09708894,-78063.03070158492,38.233734342464864,0.0008058920502662659,-0.046616445761173964,0.07550833746790886
2026-04-23 07:43:00.300,3509412.401908284,779163.1249669248,5250973.094690634,-78068.0012347541,38.21629650795837,0.05348437465727329,-0.14649011427536607,-0.02398306503891945
2026-04-23 07:43:00.400,3509412.408443144,779163.1152102761,5250973.086372823,-78072.9798661343,38.10926792324659,0.06534860003739595,-0.09756648680195212,-0.08317810483276844
2026-04-23 07:43:00.500,3509412.4086043625,779163.1067680211,5250973.07586223,-78077.95901972172,38.089103169802534,0.0016121845692396164,-0.08442254969850183,-0.1051059365272522
2026-04-23 07:43:00.600,3509412.40653619,779163.0973710411,5250973.067149653,-78082.9344395989,38.10285799320878,-0.02068172674626112,-0.09396980050951242,-0.08712576702237129
2026-04-23 07:43:00.700,3509412.3980060923,779163.090207253,5250973.050340294,-78087.9138632966,38.06663113943212,-0.08530097547918558,-0.07163788075558841,-0.16809359192848206
2026-04-23 07:43:00.800,3509412.3891224647,779163.0870413451,5250973.035895331,-78092.8966470907,38.07823594911574,-0.08883627597242594,-0.03165907924994826,-0.14444963075220585
2026-04-23 07:43:00.900,3509412.3843519106,779163.0875450234,5250973.033503922,-78097.87254763472,38.058617452669786,-0.047705541364848614,0.005036783404648304,-0.023914091289043427
2026-04-23 07:43:01.000,3509412.3784283004,779163.0887502738,5250973.029334846,-78102.84518830839,38.070893148357364,-0.05923610180616379,0.012052503880113363,-0.0416907574981451
2026-04-23 07:43:01.100,3509412.376399727,779163.092470743,5250973.029986132,-78107.81534756014,38.08854858229532,-0.02028573304414749,0.03720469190739095,0.006512859836220741
2026-04-23 07:43:01.200,3509412.369268894,779163.0924966291,5250973.022638482,-78112.79083828254,38.131518884775794,-0.07130832877010107,0.00025886110961437225,-0.07347649894654751
2026-04-23 07:43:01.300,3509412.3704209332,779163.0959795292,5250973.026365777,-78117.7553974178,38.163760204026566,0.011520390398800373,0.03482900094240904,0.037272945046424866
2026-04-23 07:43:01.400,3509412.3764822846,779163.1004115851,5250973.035309267,-78122.71458563984,38.18503825808713,0.06061351392418146,0.04432055866345763,0.0894349068403244
2026-04-23 07:43:01.500,3509412.376083107,779163.1054429384,5250973.039816025,-78127.68124668364,38.2288502197736,-0.003991774283349514,0.050313533283770084,0.045067574828863144
2026-04-23 07:43:01.600,3509412.379924263,779163.1079300746,5250973.04182465,-78132.64803585927,38.23980718418554,0.038411556743085384,0.02487136167474091,0.020086253061890602
2026-04-23 07:43:01.700,3509412.3836613507,779163.108612474,5250973.042527145,-78137.608869027,38.26570957769872,0.037370878271758556,0.006823994917795062,0.007024947553873062
2026-04-23 07:43:01.800,3509412.3906499417,779163.1038749446,5250973.048483943,-78142.56364169889,38.294138033540186,0.0698859104886651,-0.047375294379889965,0.059567978605628014
2026-04-23 07:43:01.900,3509412.393431194,779163.0924030484,5250973.043116952,-78147.53969924913,38.30648116891745,0.027812523767352104,-0.11471896199509501,-0.05366990342736244
2026-04-23 07:43:02.000,3509412.404980867,779163.0901678953,5250973.047663585,-78152.50834667841,38.33044554361263,0.11549673043191433,-0.022351531079038978,0.04546632990241051
2026-04-23 07:43:02.100,3509412.4106428227,779163.0831593367,5250973.042874035,-78157.47740699563,38.35026598716635,0.056619555689394474,-0.07008558604866266,-0.04789549857378006
2026-04-23 07:43:02.200,3509412.4179996196,779163.0795563195,5250973.042652591,-78162.4413256553,38.383912260662775,0.07356796879321337,-0.036030171904712915,-0.002214442938566208
2026-04-23 07:43:02.300,3509412.4273102563,779163.0774641898,5250973.053375932,-78167.40104057889,38.41811692562323,0.09310636669397354,-0.02092129667289555,0.10723341256380081
2026-04-23 07:43:02.400,3509412.4327752134,779163.0718348948,5250973.059168431,-78172.36993329524,38.44725357866358,0.05464957095682621,-0.05629295017570257,0.05792498588562012
2026-04-23 07:43:02.500,3509412.4414910404,779163.0710604446,5250973.068941363,-78177.32697989457,38.47409149520325,0.08715827018022537,-0.007744502509012818,0.09772932156920433
2026-04-23 07:43:02.600,3509412.4481688263,779163.0643401889,5250973.0716560865,-78182.29186297962,38.514102969631956,0.06677785888314247,-0.06720255711115897,0.027147233486175537
2026-04-23 07:43:02.700,3509412.4579822067,779163.0565957883,5250973.074968742,-78187.25448842869,38.53530961642622,0.09813380427658558,-0.07744400529190898,0.03312655724585056
2026-04-23 07:43:02.800,3509412.4645386515,779163.0519780206,5250973.079442241,-78192.212640442,38.565517928567566,0.06556444801390171,-0.046177677577361465,0.04473499022424221
2026-04-23 07:43:02.900,3509412.473799752,779163.0447412016,5250973.086706043,-78197.17306090315,38.61736816052418,0.09261100552976131,-0.07236819015815854,0.07263801991939545
2026-04-23 07:43:03.000,3509412.4831129806,779163.0407970065,5250973.094029041,-78202.13729843762,38.6325403069661,0.09313228540122509,-0.03944195108488202,0.07322997786104679
2026-04-23 07:43:03.100,3509412.494477355,779163.0337170984,5250973.102039559,-78207.10082205739,38.6734710702406,0.11364374309778214,-0.07079908042214811,0.08010517805814743
2026-04-23 07:43:03.200,3509412.5028960593,779163.0311144423,5250973.113921762,-78212.0594585353,38.7166272571211,0.08418704383075237,-0.02602656139060855,0.11882203631103039
2026-04-23 07:43:03.300,3509412.508946175,779163.0295890167,5250973.122476238,-78217.0216667427,38.74939135441692,0.06050115916877985,-0.01525425584986806,0.08554475381970406
2026-04-23 07:43:03.400,3509412.5128560937,779163.0251208415,5250973.121239706,-78221.9931582226,38.788353487998116,0.039099184796214104,-0.044681752333417535,-0.012365318834781647
2026-04-23 07:43:03.500,3509412.526326422,779163.0248355742,5250973.135407118,-78226.95051297771,38.8095485036122,0.1347032841295004,-0.002852672478184104,0.1416741218417883
2026-04-23 07:43:03.600,3509412.537881784,779163.0242208062,5250973.146638134,-78231.90423753737,38.84333058040962,0.11555362027138472,-0.006147680105641484,0.11231015436351299
2026-04-23 07:43:03.700,3509412.546260768,779163.0239722048,5250973.156769581,-78236.86474747352,38.865869302331895,0.08378983940929174,-0.002486014273017645,0.10131447575986385
2026-04-23 07:43:03.800,3509412.5557225016,779163.0221127631,5250973.161553551,-78241.8132911706,38.89009237496837,0.09461733512580395,-0.018594416324049234,0.047839703038334846
2026-04-23 07:43:03.900,3509412.563295086,779163.0220384692,5250973.1713896785,-78246.76800077538,38.92940615808465,0.07572584319859743,-0.0007429393008351326,0.09836127050220966
2026-04-23 07:43:04.000,3509412.5685313693,779163.0164338683,5250973.173208319,-78251.74256646377,38.96671761946327,0.052362834103405476,-0.05604600883089006,0.018186401575803757
2026-04-23 07:43:04.100,3509412.5773854996,779163.011988653,5250973.181526475,-78256.71779442794,38.972252580676155,0.08854130282998085,-0.04445215337909758,0.08318156003952026
2026-04-23 07:43:04.200,3509412.5832392965,779163.0058793634,5250973.188661266,-78261.69444938003,38.997224522100694,0.058537968434393406,-0.06109289592131972,0.0713479146361351
2026-04-23 07:43:04.300,3509412.5877298876,779163.0024277504,5250973.189931171,-78266.6636865533,38.99851639974226,0.044905911199748516,-0.03451613010838628,0.012699048966169357
2026-04-23 07:43:04.400,3509412.597752555,779162.9952114185,5250973.194664914,-78271.62087332513,39.03190328124466,0.10022667236626148,-0.07216331898234785,0.04733743146061897
2026-04-23 07:43:04.500,3509412.609519023,779162.9871831889,5250973.203010666,-78276.57610660925,39.06061617967496,0.11766468174755573,-0.08028229582123458,0.08345752023160458
2026-04-23 07:43:04.600,3509412.6199790863,779162.9813607606,5250973.210913457,-78281.53562898583,39.066280549616486,0.10460063349455595,-0.05822428269311786,0.07902790792286396
2026-04-23 07:43:04.700,3509412.6290156394,779162.973629372,5250973.212483122,-78286.49530903497,39.09483308147666,0.09036553092300892,-0.0773138867225498,0.015696650370955467
2026-04-23 07:43:04.800,3509412.6437121965,779162.9691739158,5250973.22345355,-78291.45402094533,39.09548319892195,0.14696557074785233,-0.0445545616094023,0.1097042765468359
2026-04-23 07:43:04.900,3509412.660386041,779162.9653644616,5250973.236491597,-78296.4097802706,39.10624232819525,0.16673844307661057,-0.038094541523605585,0.13038047589361668
2026-04-23 07:43:05.000,3509412.6788410447,779162.9567919773,5250973.251075176,-78301.35739497532,39.094245057293016,0.1845500385388732,-0.08572484366595745,0.1458357833325863
2026-04-23 07:43:05.100,3509412.6945206677,779162.9457699523,5250973.256702956,-78306.31466762918,39.09654489540912,0.15679623000323772,-0.1102202502079308,0.05627780221402645
2026-04-23 07:43:05.200,3509412.7116918983,779162.9407513196,5250973.271181595,-78311.26825112052,39.091845365632814,0.17171230632811785,-0.05018632626160979,0.14478638768196106
2026-04-23 07:43:05.300,3509412.7244582954,779162.9333145635,5250973.278297827,-78316.22422183515,39.101346874287735,0.12766397092491388,-0.07436756161041558,0.07116232067346573
2026-04-23 07:43:05.400,3509412.7405248336,779162.928516938,5250973.289786437,-78321.17659784101,39.084230144674464,0.1606653816998005,-0.047976254718378186,0.11488609947264194
2026-04-23 07:43:05.500,3509412.7559258826,779162.9195067285,5250973.301065828,-78326.13819370413,39.07228524300853,0.15401049051433802,-0.09010209469124675,0.11279391124844551
2026-04-23 07:43:05.600,3509412.771018732,779162.9109950524,5250973.308158091,-78331.10533048397,39.03744152357006,0.15092849265784025,-0.08511676103807986,0.07092263549566269
