GPSTime,X-ECEF,Y-ECEF,Z-ECEF,cdt,variance,VX-ECEF,VY-ECEF,VZ-ECEF
2026-04-23 07:30:00.000,3509439.9138116837,779100.8300864148,5250999.874493664,-40737.265335390715,89.5014018885578,,,
2026-04-23 07:30:00.100,3509439.91923437,779100.9203442311,5250999.960928121,-40741.52855282634,90.23884508347633,0.05422686226665974,0.9025781624950469,0.8643445651978254
2026-04-23 07:30:00.200,3509439.8523136973,779100.9934159311,5251000.081130081,-40745.790304431015,91.4952247054924,-0.6692067254334688,0.7307170005515218,1.202019602060318
2026-04-23 07:30:00.300,3509439.915482785,779101.0282411132,5251000.301725401,-40749.94237541998,94.02358346339929,0.6316908774897456,0.3482518205419183,2.205953197553754
2026-04-23 07:30:00.400,3509440.321739323,779101.0789110207,5251000.525188129,-40753.9494842719,97.69084060640868,4.062565378844738,0.5066990747582167,2.2346272878348827
2026-04-23 07:30:00.500,3509440.298590101,779101.1350978671,5251000.679416276,-40758.15371727466,99.3358614771761,-0.23149222135543823,0.5618684645742178,1.542281461879611
2026-04-23 07:30:00.600,3509440.046982928,779101.2223970067,5251000.977858021,-40762.48278083063,98.20730143034008,-2.5160717265680432,0.8729913958813995,2.9844174534082413
2026-04-23 07:30:00.700,3509440.148574525,779101.3078649846,5251001.035432685,-40766.71399270861,98.71138384413315,1.0159159684553742,0.8546797791495919,0.5757466424256563
2026-04-23 07:30:00.800,3509440.208798624,779101.403505786,5251000.7594634425,-40771.164969366604,99.00523454146484,0.6022409908473492,0.9564080135896802,-2.7596924267709255
2026-04-23 07:30:00.900,3509440.2772104284,779101.5216465566,5251000.598176143,-40775.54267754229,99.74836167962813,0.6841180426999927,1.1814077058807015,-1.6128729935735464
2026-04-23 07:30:01.000,3509438.7581799524,779102.0428691582,5251000.23221594,-40779.70504922789,111.29519547818974,-15.190304759889841,5.212226016446948,-3.6596020311117172
2026-04-23 07:30:01.100,3509440.530081724,779101.7387173802,5251000.568871452,-40784.0786033403,101.30528229184745,17.71901771426201,-3.0415177799295634,3.3665551152080297
2026-04-23 07:30:01.200,3509440.3973676465,779101.8893503986,5251000.690580344,-40788.39495687597,101.09540536715797,-1.3271407736465335,1.506330183474347,1.2170889228582382
2026-04-23 07:30:01.300,3509440.219568977,779102.057572925,5251000.737098181,-40792.72787446139,100.49108735972803,-1.7779866931959987,1.6822252643760294,0.4651783686131239
2026-04-23 07:30:01.400,3509440.160106384,779102.2179720798,5251000.716870576,-40797.13918537236,98.87969379196097,-0.5946259293705225,1.6039915475994349,-0.20227604545652866
2026-04-23 07:30:01.500,3509440.06966079,779102.3648903725,5251000.609539307,-40801.49662028922,99.71646611184532,-0.9044559439644217,1.4691829273942858,-1.0733126942068338
2026-04-23 07:30:01.600,3509439.813437703,779102.5497640299,5251000.691704419,-40805.784856755614,100.93092086340968,-2.56223086733371,1.8487365741748363,0.8216511271893978
2026-04-23 07:30:01.700,3509439.629295714,779102.7314004641,5251000.6536915535,-40810.18459296762,101.19933992756471,-1.8414198886603117,1.8163643416482955,-0.3801286593079567
2026-04-23 07:30:01.800,3509439.3996553216,779102.8974661179,5251000.638810684,-40814.63127945793,100.41203054887549,-2.2964039258658886,1.660656537860632,-0.14880869537591934
2026-04-23 07:30:01.900,3509439.3134977827,779103.0602009794,5251000.5346957715,-40819.083504856855,99.41191956536112,-0.8615753892809153,1.6273486148566008,-1.0411491245031357
