Time              Gyro_X     Gyro_Y     Gyro_Z    Accel_X    Accel_Y    Accel_Z
373096.002700    0.09242    0.32023    0.36285   -0.70094    0.03471    9.78482
373096.012700    0.13098    0.17527    0.28121   -0.69491    0.02656    9.79487
373096.022700    0.07019    0.14559    0.18501   -0.68829    0.02818    9.78771
373096.032700   -0.04211    0.02332    0.17561   -0.69166    0.03606    9.79658
373096.042700    0.07202    0.20323    0.36434   -0.68515    0.01961    9.79348
373096.052700    0.03581    0.06211    0.37832   -0.69210    0.03053    9.77772
373096.062700    0.21177   -0.07059    0.32555   -0.68896    0.01824    9.82133
373096.072700    0.03696    0.06010   -0.10451   -0.68795    0.04538    9.79185
373096.082700    0.00487    0.02951    0.39729   -0.69347    0.03191    9.78805
373096.092700    0.00974    0.23159    0.24305   -0.68682    0.00803    9.81604
373096.102700    0.18604    0.27215    0.17040   -0.68369    0.04145    9.78972
373096.112700    0.05117   -0.01261    0.18472   -0.69650    0.03369    9.78947
373096.122700    0.13361    0.15086    0.21664   -0.69657    0.02205    9.79383
373096.132700    0.11877    0.16031    0.33764   -0.68350    0.02965    9.79126
373096.142700   -0.13843    0.07242    0.40840   -0.69135    0.02558    9.78703
373096.152700    0.08514    0.03890    0.35151   -0.69486    0.03779    9.77767
373096.162700    0.16656    0.08944    0.27067   -0.69343    0.03344    9.79659
373096.172700    0.15069    0.10067    0.36578   -0.69232    0.03279    9.80231
373096.182700    0.02521   -0.01186    0.20008   -0.69377    0.03817    9.79014
373096.192700    0.18558    0.06280    0.28338   -0.69333    0.02186    9.79955
373096.202700    0.21509    0.07403    0.30407   -0.68378    0.03386    9.79301
373096.212700    0.05042    0.20615    0.30682   -0.69213    0.02270    9.80309
373096.222700    0.01874    0.14301    0.26024   -0.69975    0.03124    9.79376
373096.232700   -0.01782    0.14341    0.24775   -0.68948    0.03470    9.79264
373096.242700    0.13052    0.10050    0.21675   -0.69136    0.03149    9.80766
373096.252700    0.15223    0.18529    0.24064   -0.68301    0.04405    9.78150
373096.262700    0.19148    0.10073    0.28780   -0.68450    0.03478    9.78480
373096.272700    0.08978    0.05225    0.18369   -0.68304    0.03563    9.80976
373096.282700    0.10376    0.14948    0.35466   -0.68304    0.03098    9.78484
373096.292700   -0.12215    0.01352    0.29553   -0.68206    0.02985    9.79446
373096.302700    0.12542   -0.02086    0.21904   -0.69088    0.03419    9.81157
373096.312700    0.09752    0.09672    0.23377   -0.67384    0.03315    9.79335
373096.322700    0.26625    0.10113    0.15584   -0.68581    0.02915    9.79484
373096.332700    0.19607   -0.02773    0.27496   -0.68320    0.02667    9.79950
373096.342700    0.01066   -0.00533    0.13619   -0.68914    0.02856    9.81375
373096.352700    0.04756    0.13384    0.33226   -0.68489    0.03618    9.79513
373096.362700    0.18386    0.00619    0.11952   -0.68105    0.03551    9.78230
373096.372700    0.09110   -0.05581    0.28476   -0.67907    0.01561    9.80956
373096.382700   -0.08062    0.10147    0.38245   -0.68343    0.03433    9.79372
373096.392700    0.04847    0.03163    0.38010   -0.70012    0.03844    9.78194
373096.402700    0.04097   -0.04051    0.32670   -0.68846    0.02894    9.79129
373096.412700    0.10434    0.31828    0.17109   -0.68293    0.03032    9.79873
373096.422700    0.19297   -0.06188    0.28665   -0.68609    0.04085    9.80509
373096.432700    0.19618   -0.03432    0.26327   -0.68822    0.03528    9.79943
373096.442700   -0.01914    0.15544    0.17939   -0.68728    0.02704    9.78522
373096.452700    0.24036    0.10875    0.23405   -0.68024    0.02570    9.80377
373096.462700    0.04635    0.00882    0.47074   -0.69478    0.03681    9.79444
373096.472700    0.09202    0.02120    0.22775   -0.69410    0.02813    9.79058
373096.482700    0.15269    0.10113    0.14582   -0.68138    0.03449    9.79942
373096.492700   -0.09849   -0.01833    0.34332   -0.69768    0.04760    9.78258
373096.502700    0.00676    0.17321    0.26648   -0.68481    0.02864    9.80625
373096.512700    0.10302    0.12342    0.33226   -0.68931    0.02989    9.79163
373096.522700   -0.16450    0.05810    0.30166   -0.67926    0.03744    9.80510
373096.532700    0.04091    0.09368    0.38887   -0.68417    0.03588    9.80547
373096.542700    0.01621    0.04188    0.33432   -0.69042    0.04031    9.78869
373096.552700    0.09379    0.13997    0.26505   -0.67315    0.03667    9.80366
373096.562700    0.16169    0.16186    0.35833   -0.68769    0.03521    9.79799
373096.572700    0.02194   -0.06142    0.15808   -0.69054    0.03239    9.79981
373096.582700    0.17183    0.04177    0.40565   -0.68573    0.03086    9.80945
373096.592700    0.05225    0.19945    0.05558   -0.68845    0.03926    9.80188
373096.602700    0.23910   -0.05644    0.24007   -0.69470    0.03420    9.79375
373096.612700   -0.01782    0.13367    0.27926   -0.68790    0.02411    9.80236
373096.622700    0.03541    0.14891    0.18484   -0.68381    0.03274    9.79837
373096.632700    0.03529    0.05712    0.18180   -0.69720    0.02990    9.79984
373096.642700    0.13688   -0.07007    0.33232   -0.68745    0.02722    9.78095
373096.652700    0.00327    0.07019    0.28940   -0.68242    0.03103    9.79766
373096.662700    0.14015    0.17876    0.35827   -0.68131    0.02281    9.80094
373096.672700    0.11872    0.23159    0.22334   -0.69433    0.04058    9.78440
373096.682700    0.05873   -0.01684    0.35271   -0.68177    0.01217    9.80211
373096.692700    0.16558    0.11024    0.29668   -0.69613    0.02758    9.79701
373096.702700    0.04950    0.14387    0.35627   -0.69178    0.03919    9.78977
373096.712700    0.02177   -0.11940    0.21389   -0.70498    0.03186    9.79058
373096.722700    0.08944    0.09127    0.22477   -0.67722    0.03840    9.80723
373096.732700    0.01261   -0.05684    0.35426   -0.69268    0.04124    9.78834
373096.742700    0.07122    0.19165    0.35896   -0.69137    0.02372    9.79061
373096.752700    0.16593    0.20071    0.10697   -0.68993    0.03816    9.78085
