
Project:     run4
Program:     Inertial Explorer Version 9.00.2207
Profile:     ARLI_IMU_BIASES
Source:      GNSS/INS Epochs(Smoothed TC Combined)
SolFile:      C:\Users\pleba\Documents\gnss_course\run4\run4.cts
ProcessInfo: run4 by Unknown on 4/24/2026 at 09:44:28

Datum:       ETRS89
Master 1:    Name BUDD00DNK, Status ENABLED
             Antenna height 2.694 m, to ARP [LEIAR25.R4(LEIT)]
             Lat, Lon, El Hgt 55 44 19.91720, 12 29 59.84215, 87.941 m [ETRF2000, 2024.003]
Remote:      Antenna height 0.000 m, to L1PC [Generic(NONE)]
IMU to GNSS Antenna Lever Arms:
             x=0.000, y=0.000, z=0.000 m (x-right, y-fwd, z-up)
Body to IMU Rotations:
             xRot=0.000, yRot=0.000, zRot=0.000 degrees

  GPSTime      AccBiasX      AccBiasY      AccBiasZ    GyroDriftX    GyroDriftY    GyroDriftZ
    (sec)       (m/s^2)       (m/s^2)       (m/s^2)       (deg/s)       (deg/s)       (deg/s)
373423.10  -2.84238E-04   2.65736E-02   5.24837E-03   6.84378E-02   7.71996E-02   2.45559E-01
373423.10  -2.84218E-04   2.65737E-02   5.24837E-03   6.84378E-02   7.71996E-02   2.45559E-01
373423.11  -2.84197E-04   2.65738E-02   5.24837E-03   6.84378E-02   7.71997E-02   2.45559E-01
373423.11  -2.84177E-04   2.65739E-02   5.24837E-03   6.84378E-02   7.71997E-02   2.45559E-01
373423.12  -2.84157E-04   2.65739E-02   5.24836E-03   6.84378E-02   7.71997E-02   2.45559E-01
373423.12  -2.84137E-04   2.65740E-02   5.24836E-03   6.84378E-02   7.71997E-02   2.45559E-01
373423.13  -2.84116E-04   2.65741E-02   5.24836E-03   6.84378E-02   7.71997E-02   2.45559E-01
373423.13  -2.84096E-04   2.65742E-02   5.24836E-03   6.84378E-02   7.71997E-02   2.45559E-01
373423.14  -2.84076E-04   2.65742E-02   5.24836E-03   6.84378E-02   7.71997E-02   2.45559E-01
373423.14  -2.84055E-04   2.65743E-02   5.24836E-03   6.84378E-02   7.71997E-02   2.45559E-01
373423.15  -2.84035E-04   2.65744E-02   5.24835E-03   6.84379E-02   7.71997E-02   2.45559E-01
373423.15  -2.84015E-04   2.65745E-02   5.24835E-03   6.84379E-02   7.71997E-02   2.45559E-01
373423.16  -2.83994E-04   2.65745E-02   5.24835E-03   6.84379E-02   7.71997E-02   2.45559E-01
373423.16  -2.83974E-04   2.65746E-02   5.24835E-03   6.84379E-02   7.71997E-02   2.45559E-01
373423.17  -2.83954E-04   2.65747E-02   5.24835E-03   6.84379E-02   7.71997E-02   2.45559E-01
