Time              Gyro_X     Gyro_Y     Gyro_Z    Accel_X    Accel_Y    Accel_Z
373422.002700    0.05025    0.11900    0.33014    0.37703   -0.06374    9.81641
373422.012700    0.07941    0.10961    0.22179    0.37817   -0.07026    9.82181
373422.022700    0.19744    0.03919    0.27880    0.37371   -0.06154    9.82246
373422.032700    0.16140    0.22592    0.20724    0.36584   -0.05752    9.80996
373422.042700    0.05432    0.03633    0.17441    0.36634   -0.06700    9.79969
373422.052700    0.15739    0.00848    0.29416    0.37779   -0.06538    9.81250
373422.062700    0.07913    0.03449    0.14954    0.38126   -0.06887    9.81252
373422.072700    0.02532    0.06956    0.20678    0.37016   -0.05963    9.81496
373422.082700    0.08056    0.05025    0.04990    0.37537   -0.06619    9.81394
373422.092700    0.08021    0.09185    0.11797    0.37401   -0.07054    9.82004
373422.102700    0.05850    0.11946    0.39391    0.37899   -0.06060    9.81532
373422.112700    0.10921    0.10371    0.24609    0.36293   -0.06725    9.81325
373422.122700    0.12760    0.16536    0.30774    0.36987   -0.06992    9.82004
373422.132700   -0.01828   -0.12519    0.26012    0.37000   -0.05656    9.81708
373422.142700    0.03191    0.11127    0.15086    0.36597   -0.06656    9.81860
373422.152700    0.18100   -0.02252    0.33100    0.37266   -0.06165    9.81212
373422.162700    0.03965    0.08337    0.24001    0.37150   -0.07031    9.81862
373422.172700    0.09505    0.07930    0.24878    0.37263   -0.06543    9.81679
373422.182700    0.13636   -0.15430    0.24906    0.37992   -0.06513    9.80500
373422.192700    0.24339   -0.09861    0.13075    0.38069   -0.06627    9.82642
373422.202700    0.18048    0.11167    0.26774    0.37398   -0.06982    9.81896
373422.212700   -0.01203    0.06022    0.18598    0.36557   -0.05532    9.80246
373422.222700    0.19985    0.03105    0.25468    0.37571   -0.06987    9.81290
373422.232700    0.14799    0.06142    0.32355    0.37708   -0.06467    9.82070
373422.242700    0.23927    0.11253    0.19801    0.37602   -0.07220    9.81399
373422.252700    0.10285    0.06692    0.40497    0.36705   -0.06182    9.80856
373422.262700    0.06864   -0.03902    0.28167    0.36094   -0.07002    9.81756
373422.272700    0.03638    0.11872    0.15625    0.37499   -0.06820    9.82894
373422.282700   -0.02727    0.26350    0.16100    0.37548   -0.05700    9.80352
373422.292700    0.17458    0.17624    0.27015    0.37922   -0.08432    9.82265
373422.302700    0.13636    0.12416    0.18701    0.36536   -0.07234    9.81615
373422.312700    0.22815    0.13505    0.19968    0.36736   -0.06608    9.81038
373422.322700    0.12680    0.20581    0.18484    0.36932   -0.06340    9.81143
373422.332700   -0.01054    0.05861    0.35552    0.37477   -0.07554    9.81615
373422.342700    0.00052    0.16198    0.26551    0.37368   -0.07345    9.82078
