datetime,X-ECEF,Y-ECEF,Z-ECEF,cdt,std_X,std_Y,std_Z,PDOP,nsats,VX-ECEF,VY-ECEF,VZ-ECEF,cdtdot,std_VX,std_VY,std_VZ,std_V3D
2026-04-23 07:43:00.000,3509414.616912352,779164.6362788745,5250975.273036552,-78050.73335733998,9.717669714869084,6.6672214318441085,14.0345211417828,2.4380119632220127,8,-0.023104130067319775,0.00021673558929448752,0.005626356368521123,49.66993752952689,0.012160666053341788,0.0083433431795155,0.017562762455555214,0.02293346461706837
2026-04-23 07:43:00.100,3509414.530350084,779164.6528549358,5250975.213581711,-78055.80485441201,9.692255379759544,6.649771219470866,13.997842126886207,2.4380494923332283,8,-0.050613794708355885,0.006019114080692877,-0.03506089681592504,49.745602795204704,0.028796660291385386,0.019757135498351355,0.04158898922351611,0.05430686947036633
2026-04-23 07:43:00.200,3509414.5853044107,779164.6146923093,5250975.2822294785,-78060.71202487507,9.65882815421692,6.62682354893946,13.949590484817588,2.4380869993005563,8,-0.0670750036383159,-0.01019373729178261,-0.08666531257342379,49.83743630569079,0.018932591263545417,0.01298945789535895,0.027343057638683665,0.03570450713005511
2026-04-23 07:43:00.300,3509414.6646554573,779164.6196297781,5250975.332717128,-78065.59605853842,9.666720486230737,6.6322248349285475,13.961013817479676,2.4381245024521516,8,-0.005902965015519956,-0.011245517996983605,-0.017420758173500563,49.76833079720051,0.030751646783033208,0.021098348276428616,0.044412597453263467,0.05799381770850699
2026-04-23 07:43:00.400,3509414.7439910355,779164.6709959002,5250975.399316238,-78070.52457435441,9.611749936544902,6.59449668046469,13.881648252799772,2.4381619997516055,8,0.08998631787032237,0.01683101252934505,0.0556389311300197,49.673605872167265,0.028407549476842087,0.01949005040309148,0.041027243963369375,0.05357318059648976
2026-04-23 07:43:00.500,3509414.6946540778,779164.6552647569,5250975.327929775,-78075.55861398527,9.660925113407165,6.628221561195796,13.95269381708501,2.4381995233521803,8,0.0666578727301875,0.006849969095551049,0.03300648711720247,49.67032256599813,0.03762684113040141,0.02581523371028995,0.05434218642974646,0.07095969765250328
2026-04-23 07:43:00.600,3509414.709032217,779164.6529049149,5250975.39164505,-78080.45597936952,9.66821076472732,6.633206565664996,13.963240955359613,2.4382370258039074,8,0.013033372671006503,-0.015354561141210029,-0.004534122505351898,49.70051487065836,0.01618698780700435,0.011105636442213903,0.023377935855026254,0.03052673614870183
2026-04-23 07:43:00.700,3509414.559752241,779164.6318630315,5250975.280884659,-78085.570999076,9.638495778398944,6.612806030424341,13.92035014448535,2.4382745581686818,8,0.0707218771252997,0.021216992781151994,0.02009477924545299,49.63205247666449,0.02128020343667539,0.014599981247082018,0.03073382919856492,0.04013196690828895
2026-04-23 07:43:00.800,3509414.5266441675,779164.6168810279,5250975.232787714,-78090.57915606849,9.682272531254931,6.642826908130399,13.983599453942048,2.4383120736407786,8,0.036658636300584024,0.013736630217068757,-0.003618809579525426,49.66596084520347,0.010241206801422355,0.007026301304018234,0.014790838966140495,0.019313729419422027
2026-04-23 07:43:00.900,3509414.4833287927,779164.5765353767,5250975.217073969,-78095.5993302382,9.662433367566765,6.62920205932601,13.954971654902529,2.4383495864108164,8,-0.05743625946322497,-0.005074722120925856,-0.03767586216206691,49.78180983159519,0.007294997794309647,0.005004951916475095,0.0105358022735637,0.0137575312484777
