
Project:     run3
Program:     Inertial Explorer Version 9.00.2207
Profile:     ARLI_IMU_BIASES
Source:      GNSS/INS Epochs(Smoothed TC Combined)
SolFile:      C:\Users\pleba\Documents\gnss_course\run3\run3.cts
ProcessInfo: run3 by Unknown on 4/24/2026 at 09:32:10

Datum:       ETRS89
Master 1:    Name BUDD00DNK, Status ENABLED
             Antenna height 2.694 m, to ARP [LEIAR25.R4(LEIT)]
             Lat, Lon, El Hgt 55 44 19.91720, 12 29 59.84215, 87.941 m [ETRF2000, 2024.003]
Remote:      Antenna height 0.000 m, to L1PC [Generic(NONE)]
IMU to GNSS Antenna Lever Arms:
             x=0.000, y=0.000, z=0.000 m (x-right, y-fwd, z-up)
Body to IMU Rotations:
             xRot=0.000, yRot=0.000, zRot=0.000 degrees

  GPSTime      AccBiasX      AccBiasY      AccBiasZ    GyroDriftX    GyroDriftY    GyroDriftZ
    (sec)       (m/s^2)       (m/s^2)       (m/s^2)       (deg/s)       (deg/s)       (deg/s)
373097.10   2.53264E-03   9.19847E-03   7.02735E-03   7.90044E-02   8.41271E-02   2.57198E-01
373097.10   2.53264E-03   9.19848E-03   7.02735E-03   7.90044E-02   8.41271E-02   2.57198E-01
373097.11   2.53264E-03   9.19850E-03   7.02735E-03   7.90045E-02   8.41271E-02   2.57198E-01
373097.11   2.53263E-03   9.19851E-03   7.02735E-03   7.90045E-02   8.41271E-02   2.57198E-01
373097.12   2.53263E-03   9.19852E-03   7.02736E-03   7.90045E-02   8.41271E-02   2.57198E-01
373097.12   2.53263E-03   9.19853E-03   7.02736E-03   7.90045E-02   8.41271E-02   2.57198E-01
373097.13   2.53263E-03   9.19855E-03   7.02736E-03   7.90045E-02   8.41271E-02   2.57198E-01
373097.13   2.53263E-03   9.19856E-03   7.02736E-03   7.90045E-02   8.41271E-02   2.57198E-01
373097.14   2.53263E-03   9.19857E-03   7.02736E-03   7.90045E-02   8.41271E-02   2.57198E-01
373097.14   2.53262E-03   9.19858E-03   7.02736E-03   7.90045E-02   8.41271E-02   2.57198E-01
373097.15   2.53262E-03   9.19859E-03   7.02737E-03   7.90045E-02   8.41271E-02   2.57198E-01
373097.15   2.53262E-03   9.19861E-03   7.02737E-03   7.90045E-02   8.41271E-02   2.57198E-01
373097.16   2.53262E-03   9.19862E-03   7.02737E-03   7.90045E-02   8.41271E-02   2.57198E-01
373097.16   2.53262E-03   9.19863E-03   7.02737E-03   7.90045E-02   8.41271E-02   2.57198E-01
373097.17   2.53261E-03   9.19864E-03   7.02737E-03   7.90045E-02   8.41271E-02   2.57198E-01
373097.17   2.53261E-03   9.19865E-03   7.02737E-03   7.90045E-02   8.41271E-02   2.57198E-01
373097.18   2.53261E-03   9.19867E-03   7.02738E-03   7.90045E-02   8.41271E-02   2.57197E-01
373097.18   2.53261E-03   9.19868E-03   7.02738E-03   7.90045E-02   8.41271E-02   2.57197E-01
373097.19   2.53261E-03   9.19869E-03   7.02738E-03   7.90045E-02   8.41271E-02   2.57197E-01
373097.19   2.53261E-03   9.19870E-03   7.02738E-03   7.90045E-02   8.41271E-02   2.57197E-01
373097.20   2.53260E-03   9.19871E-03   7.02738E-03   7.90045E-02   8.41271E-02   2.57197E-01
373097.20   2.53260E-03   9.19873E-03   7.02738E-03   7.90046E-02   8.41271E-02   2.57197E-01
373097.21   2.53260E-03   9.19874E-03   7.02739E-03   7.90046E-02   8.41271E-02   2.57197E-01
373097.21   2.53260E-03   9.19875E-03   7.02739E-03   7.90046E-02   8.41271E-02   2.57197E-01
373097.22   2.53260E-03   9.19876E-03   7.02739E-03   7.90046E-02   8.41271E-02   2.57197E-01
373097.22   2.53259E-03   9.19877E-03   7.02739E-03   7.90046E-02   8.41271E-02   2.57197E-01
