datetime,X-ECEF,Y-ECEF,Z-ECEF,cdt,std_X,std_Y,std_Z,PDOP,nsats,VX-ECEF,VY-ECEF,VZ-ECEF,cdtdot,std_VX,std_VY,std_VZ,std_V3D
2026-04-23 07:38:05.200,3509417.3423,779143.0835,5250972.4527,,4.0883,2.4187,5.542,7.299182870705461,21,-0.5590000003576279,-0.49199999892152846,-1.4020000025629997,,50.45127880440693,29.755243739549506,68.29483509021746,89.97160976107963
2026-04-23 07:38:05.300,3509417.2864,779143.0343,5250972.3125,,2.9562,1.7331,3.991,5.260307505270011,21,-0.47500000335276127,-0.5169999995268881,-1.089000003412366,,47.57129405429287,28.054896078937805,64.39379240268427,84.8331639867334
2026-04-23 07:38:05.400,3509417.2948,779143.0318,5250972.3438,,2.4323,1.4215,3.279,4.323029787082203,21,0.26699999812990427,0.3759999992325902,0.5709999985992908,,36.397727951068596,21.288666703201493,49.05069169746743,64.68363228823812
2026-04-23 07:38:05.500,3509417.3131,779143.0719,5250972.3696,,2.1234,1.2363,2.8516,3.7641583136207224,20,-0.2779999980702996,0.5449999996926636,0.13500000350177288,,30.877285664384424,18.016353293605228,41.56782895461345,54.82590774442316
2026-04-23 07:38:05.600,3509417.267,779143.0863,5250972.3573,,1.9021,1.1069,2.5548,3.3719749494917663,21,-0.6259999983012676,0.20499999984167516,-0.06699999794363976,,27.44114939283703,15.971101715285641,36.854371043337586,48.645014492751464
2026-04-23 07:38:05.700,3509417.2505,779143.0924,5250972.3629,,1.7382,1.0111,2.3347,3.0813124703606416,21,-0.24000000208616257,0.11400000075809658,0.17599999904632568,,24.92262540343613,14.499171907388366,33.47601720635237,44.18152295926431
2026-04-23 07:38:05.800,3509417.243,779143.0977,5250972.3749,,1.6104,0.9365,2.1632,2.854795027668361,21,0.10299999732524157,0.09700000053271651,0.19999999552965164,,23.00650142894395,13.379928624622778,30.90279801247777,40.78363057649478
2026-04-23 07:38:05.900,3509417.2608,779143.1021,5250972.3829,,1.5072,0.8763,2.0246,2.6718081312100237,21,0.30900000128895044,0.008999999845400453,0.10499999858438969,,21.481002583678443,12.489872737542203,28.854820047957322,38.079273010392406
2026-04-23 07:38:06.000,3509417.2739,779143.0986,5250972.3854,,1.4216,0.8264,1.9096,2.5200110475948314,21,0.17700000200420618,-0.07899999967776239,0.17600000835955143,,20.22800694581648,11.75955496606908,27.171145669625343,35.85708514366442
2026-04-23 07:38:06.100,3509417.2785,779143.0942,5250972.4005,,1.3491,0.7842,1.8121,2.3913901521918164,21,-0.02400000113993883,-0.09300000034272671,0.284000001847744,,19.173643680844805,11.145141542394157,25.75509153546149,33.987755618751876
2026-04-23 07:38:06.200,3509417.2715,779143.0893,5250972.4138,,1.2866,0.7478,1.7282,2.280618258279978,21,-0.15099999960511923,-0.10800000047311187,0.17799999564886093,,18.270580778946243,10.619646180546694,24.539905154665938,32.38515017720313
2026-04-23 07:38:06.300,3509417.2634,779143.0834,5250972.4183,,1.2321,0.7161,1.6548,2.183857289293419,21,-0.23599999956786633,-0.14599999994970858,0.10400000028312206,,17.484837888868167,10.162118135506987,23.484235669912696,30.991894520987252
2026-04-23 07:38:06.400,3509417.2479,779143.0747,5250972.4242,,1.184,0.6881,1.5901,2.0985127161873476,21,-0.1489999983459711,-0.15899999998509884,0.2199999988079071,,16.802226548883336,9.76233302033894,22.556238338872017,29.772501591233475
